Time,ShipKinetic,GranularKinetic,Dissipated
0,01,0,049999997,0,0
0,02,0,19970012,0,0
0,03,0,44850194,0,0
0,04,0,79561013,0,0
0,049999997,1,2400349,0,0
0,059999995,1,7805938,0,0
0,06999999,2,4159145,0,0
0,07999999,3,144439,0,0
0,08999999,3,9644248,0,0
0,09999999,4,8739514,0,0
0,109999985,5,8709226,0,0
0,11999998,6,9530706,0,0
0,12999998,8,117965,0,0
0,13999999,9,363012,0,0
0,14999999,10,685467,0,0
0,16,12,08243,0,0
0,17,13,550863,0,0
0,18,15,087588,0,0
0,19000001,16,6893,0,0
0,20000002,18,352571,0,0
0,21000002,20,073856,0,0
0,22000003,21,849497,0,0
0,23000003,23,675737,0,0
0,24000004,25,548729,0,0
0,25000003,27,464542,0,0
0,26000002,29,419157,0,0
0,27,31,408495,0,0
0,28,33,428417,0,0
0,29,35,474724,0,0
0,29999998,37,543175,0,0
0,30999997,39,629494,0,0
0,31999996,41,72938,0,0
0,32999995,43,838512,0,0
0,33999994,45,952553,0,0
0,34999993,48,06718,0,0
0,35999992,50,178062,0,0
0,36999992,52,28089,0,0
0,3799999,54,371395,0,0
0,3899999,56,445305,0,0
0,3999999,58,49842,0,0
0,40999988,60,52659,0,0
0,41999987,62,52571,0,0
0,42999986,64,491745,0,0
0,43999985,66,42074,0,0
0,44999984,68,30881,0,0
0,45999983,70,15217,0,0
0,46999982,71,947136,0,0
0,4799998,73,6901,0,0
0,4899998,75,37761,0,0
0,4999998,77,00632,0,0
0,5099998,78,57296,0,0
0,5199998,80,07444,0,0
0,5299998,81,50782,0,0
0,5399998,82,87024,0,0
0,5499998,84,15904,0,0
0,55999976,85,3717,0,0
0,56999975,86,50585,0,0
0,57999974,87,55929,0,0
0,58999974,88,529976,0,0
0,5999997,89,41604,0,0
0,6099997,90,21578,0,0
0,6199997,90,9277,0,0
0,6299997,91,55043,0,0
0,6399997,92,0828,0,0
0,6499997,92,52388,0,0
0,65999967,92,87284,0,0
0,66999966,93,12908,0,0
0,67999965,93,29219,0,0
0,68999964,93,36192,0,0
0,69999963,93,33825,0,0,023674011
0,7099996,93,22129,0,0,14063263
0,7199996,93,01138,0,0,35054016
0,7299996,92,70904,0,0,65288544
0,7399996,92,31496,0,1,0469666
0,7499996,91,83,0,1,5319214
0,7599996,91,25525,0,2,1066742
0,76999956,90,591934,0,2,769989
0,77999955,89,84145,0,3,5204697
0,78999954,89,00539,0,4,356537
0,79999954,88,0855,0,5,2764206
0,8099995,87,0837,0,6,278221
0,8199995,86,00206,0,7,3598633
0,8299995,84,842804,0,8,519119
0,8399995,83,60833,0,9,753593
0,8499995,82,30114,0,11,060783
0,8599995,80,92392,0,12,438004
0,86999947,79,479454,0,13,882469
0,87999946,77,97069,0,15,391235
0,88999945,76,40065,0,16,961273
0,89999944,74,77254,0,18,589386
0,90999943,73,089615,0,20,272308
0,9199994,71,35527,0,22,006653
0,9299994,69,57297,0,23,788956
0,9399994,67,74629,0,25,615631
0,9499994,65,878876,0,27,483047
0,9599994,63,974453,0,29,38747
0,9699994,62,036816,0,31,325108
0,97999936,60,069798,0,33,292126
0,98999935,58,07731,0,35,284615
0,99999934,56,063293,0,37,29863
1,0099994,54,03173,0,39,330193
1,0199994,51,98662,0,41,3753
1,0299994,49,93199,0,43,42993
1,0399994,47,871864,0,45,49006
1,0499994,45,810303,0,47,55162
1,0599993,43,751316,0,49,610607
1,0699993,41,698944,0,51,66298
1,0799993,39,65717,0,53,704754
1,0899993,37,629967,0,55,731956
1,0999993,35,621273,0,57,74065
1,1099993,33,634983,0,59,72694
1,1199993,31,67492,0,61,687004
1,1299993,29,744862,0,63,61706
1,1399993,27,848524,0,65,5134
1,1499993,25,989534,0,67,37239
1,1599993,24,171444,0,69,19048
1,1699992,22,397718,0,70,96421
1,1799992,20,671724,0,72,6902
1,1899992,18,99673,0,74,3652
1,1999992,17,375887,0,75,98604
1,2099992,15,812241,0,77,54968
1,2199992,14,308714,0,79,05321
1,2299992,12,868101,0,80,49382
1,2399992,11,49307,0,81,86885
1,2499992,10,186148,0,83,17577
1,2599992,8,949722,0,84,4122
1,2699991,7,786038,0,85,57588
1,2799991,6,697183,0,86,664734
1,2899991,5,6850996,0,87,67682
1,2999991,4,7515683,0,88,61035
1,3099991,3,8982086,0,89,463715
1,3199991,3,1264796,0,90,23544
1,3299991,2,4376729,0,90,92425
1,3399991,1,832911,0,91,52901
1,3499991,1,3131478,0,92,04877
1,3599991,0,8791645,0,92,48275
1,369999,0,5315697,0,92,830345
1,379999,0,2707983,0,93,09112
1,389999,0,09711071,0,93,26481
1,399999,0,010592923,0,93,351326
1,409999,0,011156604,0,93,351326
1,419999,0,09853962,0,93,351326
1,429999,0,2723069,0,93,351326
1,439999,0,5318517,0,93,351326
1,449999,0,876397,0,93,351326
1,459999,1,3049978,0,93,351326
1,469999,1,816543,0,93,351326
1,479999,2,4097576,0,93,351326
1,4899989,3,0832067,0,93,351326
1,4999989,3,8352973,0,93,351326
1,5099989,4,6642833,0,93,351326
1,5199989,5,568268,0,93,351326
1,5299989,6,5452075,0,93,351326
1,5399989,7,5929184,0,93,351326
1,5499989,8,70908,0,93,351326
1,5599989,9,891236,0,93,351326
1,5699989,11,136809,0,93,351326
1,5799989,12,443097,0,93,351326
1,5899988,13,80728,0,93,351326
1,5999988,15,22643,0,93,351326
1,6099988,16,697521,0,93,351326
1,6199988,18,217417,0,93,351326
1,6299988,19,782898,0,93,351326
1,6399988,21,390663,0,93,351326
1,6499988,23,037329,0,93,351326
1,6599988,24,719437,0,93,351326
1,6699988,26,43347,0,93,351326
1,6799988,28,175858,0,93,351326
1,6899987,29,942976,0,93,351326
1,6999987,31,731155,0,93,351326
1,7099987,33,536697,0,93,351326
1,7199987,35,355873,0,93,351326
1,7299987,37,18493,0,93,351326
1,7399987,39,020123,0,93,351326
1,7499987,40,85767,0,93,351326
1,7599987,42,693825,0,93,351326
1,7699987,44,524822,0,93,351326
1,7799987,46,346947,0,93,351326
1,7899987,48,15647,0,93,351326
1,7999986,49,94973,0,93,351326
1,8099986,51,72309,0,93,351326
1,8199986,53,472954,0,93,351326
1,8299986,55,195793,0,93,351326
1,8399986,56,88814,0,93,351326
1,8499986,58,54658,0,93,351326
1,8599986,60,16778,0,93,351326
1,8699986,61,748516,0,93,351326
1,8799986,63,285603,0,93,351326
1,8899986,64,77598,0,93,351326
1,8999985,66,21667,0,93,351326
1,9099985,67,60483,0,93,351326
1,9199985,68,937675,0,93,351326
1,9299985,70,212616,0,93,351326
1,9399985,71,42709,0,93,351326
1,9499985,72,578735,0,93,351326
1,9599985,73,66529,0,93,351326
1,9699985,74,68463,0,93,351326
1,9799985,75,634766,0,93,351326
1,9899985,76,513855,0,93,351326
1,9999985,77,3202,0,93,351326
2,0099986,78,05225,0,93,351326
2,0199986,78,70861,0,93,351326
2,0299985,79,288055,0,93,351326
2,0399985,79,789474,0,93,351326
2,0499985,80,21195,0,93,351326
2,0599985,80,55472,0,93,351326
2,0699985,80,81718,0,93,351326
2,0799985,80,998856,0,93,351326
2,0899985,81,09949,0,93,351326
2,0999985,81,11896,0,93,351326
2,1099985,81,0573,0,93,41299
2,1199985,80,91471,0,93,55557
2,1299984,80,69157,0,93,77872
2,1399984,80,3884,0,94,08189
2,1499984,80,0059,0,94,464386
2,1599984,79,544876,0,94,92541
2,1699984,79,00636,0,95,46392
2,1799984,78,391495,0,96,07879
2,1899984,77,70157,0,96,768715
2,1999984,76,93804,0,97,53224
2,2099984,76,10251,0,98,367775
2,2199984,75,196686,0,99,2736
2,2299984,74,222466,0,100,24782
2,2399983,73,181854,0,101,28843
2,2499983,72,076965,0,102,39332
2,2599983,70,910065,0,103,56022
2,2699983,69,683525,0,104,78676
2,2799983,68,39984,0,106,07044
2,2899983,67,06161,0,107,408676
2,2999983,65,67155,0,108,79874
2,3099983,64,232445,0,110,23784
2,3199983,62,747192,0,111,72309
2,3299983,61,218784,0,113,251495
2,3399982,59,650272,0,114,82001
2,3499982,58,044796,0,116,42548
2,3599982,56,40556,0,118,06472
2,3699982,54,735832,0,119,73445
2,3799982,53,03893,0,121,43135
2,3899982,51,318214,0,123,15207
2,3999982,49,577103,0,124,89318
2,4099982,47,819035,0,126,651245
2,4199982,46,047466,0,128,42282
2,4299982,44,265907,0,130,20438
2,4399981,42,477844,0,131,99243
2,4499981,40,686802,0,133,78348
2,4599981,38,89627,0,135,574
2,4699981,37,109756,0,137,36052
2,479998,35,330753,0,139,13953
2,489998,33,562714,0,140,90756
2,499998,31,809067,0,142,66121
2,509998,30,07322,0,144,39706
2,519998,28,358524,0,146,11176
2,529998,26,668291,0,147,80199
2,539998,25,005766,0,149,46451
2,549998,23,374147,0,151,09613
2,559998,21,776552,0,152,69373
2,569998,20,216028,0,154,25424
2,579998,18,695543,0,155,77472
2,589998,17,21798,0,157,25229
2,599998,15,786129,0,158,68414
2,609998,14,402683,0,160,0676
2,619998,13,070235,0,161,40004
2,629998,11,791265,0,162,67902
2,639998,10,56815,0,163,90213
2,649998,9,403143,0,165,06714
2,659998,8,298381,0,166,1719
2,669998,7,2558746,0,167,21442
2,679998,6,277506,0,168,19278
2,689998,5,3650265,0,169,10526
2,699998,4,520052,0,169,95023
2,709998,3,7440596,0,170,72621
2,719998,3,0383859,0,171,43188
2,7299979,2,4042253,0,172,06604
2,7399979,1,8426257,0,172,62764
2,7499979,1,3544885,0,173,11578
2,7599978,0,94056654,0,173,52971
2,7699978,0,6014629,0,173,8688
2,7799978,0,33762974,0,174,13264
2,7899978,0,14936824,0,174,3209
2,7999978,0,036827877,0,174,43344
2,8099978,6,6121456E-06,0,174,47026
2,8199978,0,0387511,0,174,47026
2,8299978,0,15275735,0,174,47026
2,8399978,0,34157163,0,174,47026
2,8499978,0,6045916,0,174,47026
2,8599977,0,9410681,0,174,47026
2,8699977,1,3501065,0,174,47026
2,8799977,1,830669,0,174,47026
2,8899977,2,381577,0,174,47026
2,8999977,3,0015142,0,174,47026
2,9099977,3,6890283,0,174,47026
2,9199977,4,442535,0,174,47026
2,9299977,5,260322,0,174,47026
2,9399977,6,1405516,0,174,47026
2,9499977,7,0812645,0,174,47026
2,9599977,8,080386,0,174,47026
2,9699976,9,135726,0,174,47026
2,9799976,10,24499,0,174,47026
2,9899976,11,405781,0,174,47026
2,9999976,12,615596,0,174,47026
3,0099976,13,871848,0,174,47026
3,0199976,15,17186,0,174,47026
3,0299976,16,51287,0,174,47026
3,0399976,17,892044,0,174,47026
3,0499976,19,306473,0,174,47026
3,0599976,20,75319,0,174,47026
3,0699975,22,229156,0,174,47026
3,0799975,23,731298,0,174,47026
3,0899975,25,256485,0,174,47026
3,0999975,26,801548,0,174,47026
3,1099975,28,363287,0,174,47026
3,1199975,29,938473,0,174,47026
3,1299975,31,523855,0,174,47026
3,1399975,33,116177,0,174,47026
3,1499975,34,712162,0,174,47026
3,1599975,36,308544,0,174,47026
3,1699975,37,902058,0,174,47026
3,1799974,39,489452,0,174,47026
3,1899974,41,06749,0,174,47026
3,1999974,42,632965,0,174,47026
3,2099974,44,182697,0,174,47026
3,2199974,45,71356,0,174,47026
3,2299974,47,222446,0,174,47026
3,2399974,48,70631,0,174,47026
3,2499974,50,16217,0,174,47026
3,2599974,51,58711,0,174,47026
3,2699974,52,978252,0,174,47026
3,2799973,54,33283,0,174,47026
3,2899973,55,648117,0,174,47026
3,2999973,56,921497,0,174,47026
3,3099973,58,150448,0,174,47026
3,3199973,59,332523,0,174,47026
3,3299973,60,465374,0,174,47026
3,3399973,61,54678,0,174,47026
3,3499973,62,574596,0,174,47026
3,3599973,63,546814,0,174,47026
3,3699973,64,461525,0,174,47026
3,3799973,65,31693,0,174,47026
3,3899972,66,1114,0,174,47026
3,3999972,66,84335,0,174,47026
3,4099972,67,51143,0,174,47026
3,4199972,68,11432,0,174,47026
3,4299972,68,65087,0,174,47026
3,4399972,69,120094,0,174,47026
3,4499972,69,5211,0,174,47026
3,4599972,69,85318,0,174,47026
3,4699972,70,1157,0,174,47026
3,4799972,70,30822,0,174,47026
3,4899971,70,43042,0,174,47026
3,4999971,70,482124,0,174,47026
3,5099971,70,46332,0,174,48907
3,5199971,70,37409,0,174,57831
3,529997,70,2147,0,174,7377
3,539997,69,985535,0,174,96686
3,549997,69,6871,0,175,26529
3,559997,69,3201,0,175,6323
3,569997,68,8853,0,176,0671
3,579997,68,38366,0,176,56873
3,589997,67,81623,0,177,13615
3,599997,67,18421,0,177,76817
3,609997,66,48894,0,178,46344
3,619997,65,731834,0,179,22055
3,629997,64,91449,0,180,0379
3,639997,64,03857,0,180,91382
3,649997,63,105877,0,181,84651
3,659997,62,118324,0,182,83406
3,669997,61,07793,0,183,87445
3,679997,59,986794,0,184,96559
3,689997,58,84714,0,186,10524
3,699997,57,661285,0,187,29109
3,709997,56,431606,0,188,52077
3,719997,55,16059,0,189,79178
3,729997,53,850777,0,191,1016
3,739997,52,504803,0,192,44757
3,749997,51,125362,0,193,82701
3,759997,49,71521,0,195,23717
3,769997,48,277145,0,196,67523
3,7799969,46,81404,0,198,13834
3,7899969,45,328808,0,199,62357
3,7999969,43,824387,0,201,12799
3,8099968,42,30375,0,202,64862
3,8199968,40,769894,0,204,18248
3,8299968,39,225853,0,205,72652
3,8399968,37,67467,0,207,2777
3,8499968,36,11939,0,208,83298
3,8599968,34,563057,0,210,38931
3,8699968,33,00871,0,211,94366
3,8799968,31,45939,0,213,49298
3,8899968,29,91812,0,215,03426
3,8999968,28,387886,0,216,56448
3,9099967,26,871666,0,218,0807
3,9199967,25,37239,0,219,57999
3,9299967,23,892958,0,221,05942
3,9399967,22,436214,0,222,51616
3,9499967,21,004965,0,223,9474
3,9599967,19,601944,0,225,35042
3,9699967,18,229837,0,226,72252
3,9799967,16,891254,0,228,0611
3,9899967,15,588739,0,229,36362
3,9999967,14,324758,0,230,6276
4,009997,13,101689,0,231,85066
4,019997,11,92183,0,233,03052
4,0299973,10,787384,0,234,16496
4,0399976,9,700462,0,235,25189
4,049998,8,663076,0,236,28928
4,059998,7,6771326,0,237,27522
4,0699983,6,7444324,0,238,20792
4,0799985,5,8666673,0,239,08568
4,0899987,5,045415,0,239,90694
4,099999,4,282138,0,240,67021
4,109999,3,5781784,0,241,37418
4,1199994,2,93476,0,242,0176
4,1299996,2,3529804,0,242,59938
4,14,1,8338132,0,243,11855
4,15,1,3781048,0,243,57425
4,1600003,0,98657304,0,243,96577
4,1700006,0,6598063,0,244,29254
4,180001,0,39826223,0,244,5541
4,190001,0,20226741,0,244,75009
4,2000012,0,072016686,0,244,88034
4,2100015,0,007573211,0,244,94478
4,2200017,0,008868556,0,244,94478
4,230002,0,07570311,0,244,94478
4,240002,0,20774671,0,244,94478
4,2500024,0,4045396,0,244,94478
4,2600026,0,66549355,0,244,94478
4,270003,0,9898933,0,244,94478
4,280003,1,3768984,0,244,94478
4,2900033,1,825545,0,244,94478
4,3000035,2,3347478,0,244,94478
4,3100038,2,903303,0,244,94478
4,320004,3,5298908,0,244,94478
4,330004,4,2130775,0,244,94478
4,3400044,4,951319,0,244,94478
4,3500047,5,7429667,0,244,94478
4,360005,6,586264,0,244,94478
4,370005,7,479359,0,244,94478
4,3800054,8,420303,0,244,94478
4,3900056,9,407055,0,244,94478
4,400006,10,437486,0,244,94478
4,410006,11,509382,0,244,94478
4,4200063,12,620459,0,244,94478
4,4300065,13,768349,0,244,94478
4,4400067,14,950623,0,244,94478
4,450007,16,164782,0,244,94478
4,460007,17,408272,0,244,94478
4,4700074,18,678488,0,244,94478
4,4800076,19,972767,0,244,94478
4,490008,21,288418,0,244,94478
4,500008,22,622702,0,244,94478
4,5100083,23,972847,0,244,94478
4,5200086,25,336063,0,244,94478
4,530009,26,709534,0,244,94478
4,540009,28,090431,0,244,94478
4,5500093,29,475916,0,244,94478
4,5600095,30,863144,0,244,94478
4,5700097,32,249283,0,244,94478
4,58001,33,63149,0,244,94478
4,59001,35,00696,0,244,94478
4,6000104,36,372883,0,244,94478
4,6100106,37,726486,0,244,94478
4,620011,39,065033,0,244,94478
4,630011,40,385815,0,244,94478
4,6400113,41,686157,0,244,94478
4,6500115,42,96344,0,244,94478
4,660012,44,21509,0,244,94478
4,670012,45,438606,0,244,94478
4,680012,46,631527,0,244,94478
4,6900125,47,791473,0,244,94478
4,7000127,48,91612,0,244,94478
4,710013,50,00323,0,244,94478
4,720013,51,050655,0,244,94478
4,7300134,52,056305,0,244,94478
4,7400136,53,018196,0,244,94478
4,750014,53,934433,0,244,94478
4,760014,54,80321,0,244,94478
4,7700143,55,62282,0,244,94478
4,7800145,56,391666,0,244,94478
4,7900147,57,10825,0,244,94478
4,800015,57,771187,0,244,94478
4,810015,58,37919,0,244,94478
4,8200154,58,931084,0,244,94478
4,8300157,59,42584,0,244,94478
4,840016,59,862488,0,244,94478
4,850016,60,240246,0,244,94478
4,8600163,60,558395,0,244,94478
4,8700166,60,816357,0,244,94478
4,880017,61,013676,0,244,94478
4,890017,61,150032,0,244,94478
4,9000173,61,22519,0,244,94478
4,9100175,61,239063,0,244,94478
4,9200177,61,191704,0,244,99214
4,930018,61,083263,0,245,10059
4,940018,60,914005,0,245,26984
4,9500184,60,684345,0,245,4995
4,9600186,60,394787,0,245,78906
4,970019,60,045982,0,246,13786
4,980019,59,638676,0,246,54517
4,9900193,59,173733,0,247,0101
5,0000196,58,652145,0,247,5317
5,01002,58,07501,0,248,10883
5,02002,57,443523,0,248,74031
5,03002,56,759007,0,249,42484
5,0400205,56,022865,0,250,16098
5,0500207,55,236618,0,250,94724
5,060021,54,401875,0,251,78198
5,070021,53,520332,0,252,66353
5,0800214,52,593796,0,253,59006
5,0900216,51,624146,0,254,55971
5,100022,50,61334,0,255,57051
5,110022,49,56342,0,256,62042
5,1200223,48,476513,0,257,70734
5,1300225,47,354805,0,258,82904
5,1400228,46,200542,0,259,9833
5,150023,45,016033,0,261,16782
5,160023,43,80366,0,262,3802
5,1700234,42,565826,0,263,618
5,1800237,41,305008,0,264,87885
5,190024,40,023712,0,266,16016
5,200024,38,724472,0,267,4594
5,2100244,37,409863,0,268,77402
5,2200246,36,08249,0,270,10138
5,230025,34,74496,0,271,4389
5,240025,33,399918,0,272,78394
5,2500253,32,05001,0,274,13385
5,2600255,30,697876,0,275,486
5,2700257,29,346169,0,276,8377
5,280026,27,997534,0,278,18634
5,290026,26,654594,0,279,52927
5,3000264,25,31997,0,280,8639
5,3100266,23,996248,0,282,18762
5,320027,22,685995,0,283,49786
5,330027,21,391747,0,284,7921
5,3400273,20,115995,0,286,06787
5,3500276,18,861197,0,287,32266
5,360028,17,62976,0,288,5541
5,370028,16,424042,0,289,75983
5,3800282,15,246338,0,290,93753
5,3900285,14,09889,0,292,085
5,4000287,12,983875,0,293,2
5,410029,11,903396,0,294,2805
5,420029,10,859485,0,295,3244
5,4300294,9,854097,0,296,3298
5,4400296,8,889108,0,297,2948
5,45003,7,9663086,0,298,2176
5,46003,7,087399,0,299,0965
5,4700303,6,2539907,0,299,9299
5,4800305,5,4676,0,300,71628
5,490031,4,7296476,0,301,45422
5,500031,4,0414543,0,302,14243
5,510031,3,404238,0,302,77963
5,5200315,2,8191123,0,303,36475
5,5300317,2,2870853,0,303,89676
5,540032,1,809057,0,304,3748
5,550032,1,3858172,0,304,79803
5,5600324,1,0180446,0,305,1658
5,5700326,0,70630634,0,305,47754
5,580033,0,45105606,0,305,7328
5,590033,0,2526337,0,305,9312
5,6000333,0,11126507,0,306,07257
5,6100335,0,027061524,0,306,15677
5,6200337,1,9977586E-05,0,306,1838
5,630034,0,030023165,0,306,1838
5,640034,0,1168401,0,306,1838
5,6500344,0,26012674,0,306,1838
5,6600347,0,45942697,0,306,1838
5,670035,0,71417356,0,306,1838
5,680035,1,0236897,0,306,1838
5,6900353,1,3871909,0,306,1838
5,7000356,1,8037858,0,306,1838
5,710036,2,272479,0,306,1838
5,720036,2,7921731,0,306,1838
5,7300363,3,3616703,0,306,1838
5,7400365,3,979677,0,306,1838
5,7500367,4,6448045,0,306,1838
5,760037,5,355573,0,306,1838
5,770037,6,1104145,0,306,1838
5,7800374,6,9076753,0,306,1838
5,7900376,7,745622,0,306,1838
5,800038,8,622442,0,306,1838
5,810038,9,536246,0,306,1838
5,8200383,10,485083,0,306,1838
5,8300385,11,4669285,0,306,1838
5,840039,12,479696,0,306,1838
5,850039,13,521246,0,306,1838
5,860039,14,589382,0,306,1838
5,8700395,15,681863,0,306,1838
5,8800397,16,796398,0,306,1838
5,89004,17,93066,0,306,1838
5,90004,19,082289,0,306,1838
5,9100404,20,24889,0,306,1838
5,9200406,21,428047,0,306,1838
5,930041,22,617325,0,306,1838
5,940041,23,81427,0,306,1838
5,9500413,25,016415,0,306,1838
5,9600415,26,2213,0,306,1838
5,9700418,27,426445,0,306,1838
5,980042,28,629395,0,306,1838
5,990042,29,827692,0,306,1838
6,0000424,31,018896,0,306,1838
6,0100427,32,20058,0,306,1838
6,020043,33,370354,0,306,1838
6,030043,34,525845,0,306,1838
6,0400434,35,66472,0,306,1838
6,0500436,36,78468,0,306,1838
6,060044,37,883465,0,306,1838
6,070044,38,958878,0,306,1838
6,0800443,40,008743,0,306,1838
6,0900445,41,030975,0,306,1838
6,1000447,42,023533,0,306,1838
6,110045,42,98442,0,306,1838
6,120045,43,911736,0,306,1838
6,1300454,44,803642,0,306,1838
6,1400456,45,658363,0,306,1838
6,150046,46,474224,0,306,1838
6,160046,47,24961,0,306,1838
6,1700463,47,983006,0,306,1838
6,1800466,48,672962,0,306,1838
